Phase 1: Parsing XML file and creating rules
	Total time: 19 seconds
Phase 2: Constructing the WFA
	Total time: 138 seconds
Phase 3: Inspecting interesting program points
	Total # of points 20407
	Total time: 203 seconds
Error Code, Call Sites to Dropping Function, Type, Validity, FP Type, Dropping Function, Definition of Dropping Function, SHA, Examiner, Date, Notes, 
56,*MPI_ERR_UNKNOWN,mpi-io/iwrite.c:151,Unsaved,,,,adio/common/lock.c:177,,,,
57,*MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/rdma/ch3_progress.c:763,Unsaved,,,,src/mpid/ch3/src/ch3u_request.c:380,,,,
58,*MPI_ERR_INTERN MPI_ERR_OTHER,src/mpid/ch3/src/mpid_comm_failure_ack.c:25,Unsaved,,,,src/mpid/ch3/src/ch3u_handle_connection.c:179,,,,
59,*MPI_ERR_OTHER,src/mpid/ch3/src/ch3u_eager.c:883,Unsaved,,,,src/mpid/ch3/src/ch3u_request.c:862,,,,
60,*MPI_ERR_TRUNCATE MPI_ERR_COUNT MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_OTHER,src/mpi/coll/allreduce_osu.c:2780,Unsaved,,,,src/mpi/coll/helper_fns.c:85,,,,
61,*MPI_ERR_INTERN MPI_ERR_OTHER,adio/common/p2p_aggregation.c:360,Unsaved,,,,src/mpi/pt2pt/mpir_request.c:546,,,,
62,*MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/rdma/ch3_progress.c:705,Unsaved,,,,src/mpid/ch3/src/ch3u_request.c:380,,,,
63,*MPI_ERR_UNKNOWN,adio/common/ad_read_str.c:131,Unsaved,,,,adio/common/lock.c:177,,,,
64,*MPI_ERR_UNKNOWN,adio/common/ad_write_str.c:343,Unsaved,,,,adio/common/lock.c:177,,,,
65,*MPI_ERR_OTHER,src/mpi/comm/comm_split.c:1116,Unsaved,,,,src/mpi/comm/commutil.c:494,,,,
66,*MPI_ERR_TRUNCATE MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_OTHER,src/mpi/coll/alltoall_osu.c:1252,Unsaved,,,,src/mpi/coll/helper_fns.c:85,,,,
67,*MPI_ERR_FILE,src/mpi/errhan/file_set_errhandler.c:126,Unsaved,,,,mpi-io/mpich_fileutil.c:30,,,,
68,*MPI_ERR_UNKNOWN,adio/ad_nfs/ad_nfs_read.c:42,Unsaved,,,,adio/common/lock.c:177,,,,
69,*MPI_ERR_UNKNOWN,adio/common/ad_write_str.c:415,Unsaved,,,,adio/common/lock.c:177,,,,
70,*MPI_ERR_UNKNOWN,adio/ad_nfs/ad_nfs_setsh.c:64,Unsaved,,,,adio/common/lock.c:177,,,,
71,*MPI_ERR_TRUNCATE MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/gen2/rdma_iba_1sc.c:2262,Unsaved,,,,src/mpi/coll/helper_fns.c:85,,,,
72,*MPI_ERR_INFO_VALUE,src/mpid/ch3/src/ch3u_win_fns.c:349,Unsaved,,,,src/mpi/info/info_get.c:56,,,,
73,*MPI_ERR_INTERN,src/mpi/coll/ch3_shmem_coll.c:790,Unsaved,,,,src/mpi/coll/ialltoallv_tuning.c:314,,,,
74,*MPI_ERR_UNKNOWN,adio/ad_nfs/ad_nfs_read.c:527,Unsaved,,,,adio/common/lock.c:177,,,,
75,*MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/gen2/rdma_iba_1sc.c:1941,Unsaved,,,,src/mpid/ch3/channels/common/src/cm/cm.c:2639,,,,
76,*MPI_ERR_UNKNOWN,adio/common/ad_read_str_naive.c:224,Unsaved,,,,adio/common/lock.c:177,,,,
77,*MPI_ERR_OTHER,src/mpid/ch3/src/mpid_comm_get_all_failed_procs.c:73,Unsaved,,,,src/mpi/group/grouputil.c:79,,,,
78,*MPI_ERR_TRUNCATE MPI_ERR_COUNT MPI_ERR_IN_STATUS MPI_ERR_ARG MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_REQUEST MPI_ERR_OTHER,src/mpi/coll/bcast_osu.c:969,Unsaved,,,,src/mpi/coll/helper_fns.c:85,,,,
79,*MPI_ERR_OTHER,src/mpid/ch3/src/ch3u_port.c:518,Unsaved,,,,src/mpid/ch3/src/ch3u_comm.c:333,,,,
80,*MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/rdma/ch3_progress.c:1489,Unsaved,,,,src/mpid/ch3/src/ch3u_request.c:862,,,,
81,*MPI_ERR_TRUNCATE MPI_ERR_COUNT MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_OTHER,src/mpid/ch3/src/mpid_init.c:652,Unsaved,,,,src/mpi/coll/helper_fns.c:85,,,,
82,*MPI_ERR_UNKNOWN,adio/ad_nfs/ad_nfs_write.c:588,Unsaved,,,,adio/common/lock.c:177,,,,
83,*MPI_ERR_UNKNOWN,adio/ad_nfs/ad_nfs_write.c:363,Unsaved,,,,adio/common/lock.c:177,,,,
84,*MPI_ERR_TRUNCATE MPI_ERR_COUNT MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_OTHER,src/mpi/comm/comm_agree.c:78,Unsaved,,,,src/mpi/coll/helper_fns.c:85,,,,
85,*MPI_ERR_TRUNCATE MPI_ERR_COUNT MPI_ERR_IN_STATUS MPI_ERR_ARG MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_REQUEST MPI_ERR_OTHER,src/mpi/comm/comm_split.c:769,Unsaved,,,,src/mpi/coll/helper_fns.c:85,,,,
86,*MPI_ERR_COUNT MPI_ERR_INTERN MPI_ERR_OTHER,src/mpi/comm/comm_split.c:214,Unsaved,,,,src/mpi/coll/helper_fns.c:533,,,,
87,*MPI_ERR_UNKNOWN,adio/ad_nfs/ad_nfs_write.c:640,Unsaved,,,,adio/common/lock.c:177,,,,
88,*MPI_ERR_UNKNOWN,adio/common/ad_write_str_naive.c:72,Unsaved,,,,adio/common/lock.c:177,,,,
89,*MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/rdma/ch3_packetizedtransfer.c:186,Unsaved,,,,src/mpid/ch3/src/ch3u_request.c:862,,,,
90,*MPI_ERR_INTERN MPI_ERR_OTHER,src/mpid/common/datatype/dataloop/dataloop_create.c:339,Unsaved,,,,src/mpid/common/datatype/dataloop/darray_support.c:194,,,,
91,*MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/rdma/ch3_rndvtransfer.c:1233,Unsaved,,,,src/mpid/ch3/src/ch3u_request.c:862,,,,
92,*MPI_ERR_UNKNOWN,mpi-io/iread_sh.c:117,Unsaved,,,,adio/common/lock.c:177,,,,
93,*MPI_ERR_OTHER,src/mpid/ch3/src/ch3u_port.c:1127,Unsaved,,,,src/mpid/ch3/channels/mrail/src/rdma/ch3_smp_progress.c:3276,,,,
94,*MPI_ERR_TRUNCATE MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/gen2/rdma_iba_1sc.c:2199,Unsaved,,,,src/mpi/coll/helper_fns.c:85,,,,
95,*MPI_ERR_OTHER,src/mpid/ch3/src/ch3u_request.c:237,Unsaved,,,,src/mpid/ch3/src/ch3u_comm.c:333,,,,
96,*MPI_ERR_TRUNCATE MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_OTHER,src/mpi/coll/red_scat_block_osu.c:153,Unsaved,,,,src/mpi/coll/helper_fns.c:85,,,,
97,*MPI_ERR_OTHER,src/mpid/ch3/src/ch3u_port.c:529,Unsaved,,,,src/mpid/ch3/channels/mrail/src/rdma/ch3_smp_progress.c:3276,,,,
98,*MPI_ERR_UNKNOWN,adio/ad_nfs/ad_nfs_read.c:406,Unsaved,,,,adio/common/lock.c:177,,,,
99,*MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/gen2/ibv_rndv.c:348,Unsaved,,,,src/mpid/ch3/src/ch3u_request.c:862,,,,
100,*MPI_ERR_TRUNCATE MPI_ERR_IN_STATUS MPI_ERR_ARG MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_REQUEST MPI_ERR_OTHER,src/mpi/coll/red_scat_osu.c:1284,Unsaved,,,,src/mpi/coll/helper_fns.c:85,,,,
101,*MPI_ERR_INFO_VALUE,src/mpid/ch3/src/ch3u_win_fns.c:377,Unsaved,,,,src/mpi/info/info_get.c:56,,,,
102,*MPI_ERR_UNKNOWN,adio/ad_nfs/ad_nfs_write.c:650,Unsaved,,,,adio/common/lock.c:177,,,,
103,*MPI_ERR_INTERN,src/mpid/ch3/channels/mrail/src/rdma/ch3_progress.c:841,Unsaved,,,,src/mpid/ch3/src/ch3u_handle_recv_pkt.c:767,,,,
104,*MPI_ERR_ARG,adio/common/ad_darray.c:68,Unsaved,,,,adio/common/ad_darray.c:168,,,,
105,*MPI_ERR_OTHER,src/mpid/ch3/src/ch3u_win_fns.c:497,Unsaved,,,,src/mpi/info/infoutil.c:61,,,,
106,*MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/gen2/ibv_send.c:1590,Unsaved,,,,src/mpid/ch3/src/ch3u_request.c:862,,,,
107,*MPI_ERR_UNKNOWN,mpi-io/iread.c:137,Unsaved,,,,adio/common/lock.c:177,,,,
108,*MPI_ERR_INTERN,src/mpi/coll/ch3_shmem_coll.c:744,Unsaved,,,,src/mpi/coll/ibarrier_tuning.c:316,,,,
109,*MPI_ERR_OTHER,adio/common/ad_open.c:325,Unsaved,,,,adio/common/cb_config_list.c:80,,,,
110,*MPI_ERR_ARG,adio/common/ad_darray.c:108,Unsaved,,,,adio/common/ad_darray.c:168,,,,
111,*MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/rdma/ch3_progress.c:299,Unsaved,,,,src/mpid/ch3/src/ch3u_request.c:380,,,,
112,*MPI_ERR_OTHER,src/mpi/coll/ch3_shmem_coll.c:1881,Unsaved,,,,src/mpi/comm/create_2level_comm.c:1351,,,,
113,*MPI_ERR_OTHER,src/mpi/comm/comm_shrink.c:60,Unsaved,,,,src/mpi/group/grouputil.c:79,,,,
114,*MPI_ERR_OTHER,src/mpid/ch3/src/ch3u_handle_recv_req.c:1153,Unsaved,,,,src/mpid/ch3/src/ch3u_handle_recv_req.c:1450,,,,
115,*MPI_ERR_UNKNOWN,adio/ad_nfs/ad_nfs_read.c:392,Unsaved,,,,adio/common/lock.c:177,,,,
116,*MPI_ERR_TRUNCATE MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/gen2/rdma_iba_init.c:796,Unsaved,,,,src/mpi/coll/helper_fns.c:85,,,,
117,*MPI_ERR_OTHER,src/mpi/comm/comm_split.c:1073,Unsaved,,,,src/mpi/comm/commutil.c:494,,,,
118,*MPI_ERR_OTHER,src/mpi/comm/comm_shrink.c:88,Unsaved,,,,src/mpid/ch3/src/ch3u_comm.c:333,,,,
119,*MPI_ERR_OTHER,src/mpi/comm/commutil.c:663,Unsaved,,,,src/mpi/comm/commutil.c:494,,,,
